,French,English
0,partie,part
1,histoire,history
2,chercher,search
3,seulement,only
4,police,police
5,pensais,thought
6,aide,help
7,demande,request
8,genre,kind
9,mois,month
10,laisser,let
11,car,because
12,aucun,no
13,laisse,leash
14,eux,them
15,ville,city
16,chaque,each
17,parlé,speak
18,arrivé,come
19,devrait,should
20,bébé,baby
21,longtemps,long time
22,heures,hours
23,vont,will
24,pendant,while
25,revoir,meet again
26,aucune,any
27,place,square
28,parle,speak
29,compris,understood
30,savais,knew
31,étaient,were
32,attention,Warning
33,voici,here is
34,pourrais,could
35,affaire,case
36,donner,give
37,type,type
38,leurs,their
39,donné,given
40,train,train
41,corps,body
42,yeux,eyes
43,façon,way
44,écoute,listen
45,dont,whose
46,premier,first
47,perdu,lost
48,première,first
49,côté,side
50,pouvoir,power
51,vieux,old
52,sois,be
53,tiens,here
54,matin,morning
55,tellement,so much
56,enfant,child
57,point,point
58,venu,came
59,suite,after
60,venez,come
61,devant,in front of
62,vers,towards
63,minutes,minutes
64,demandé,request
65,chambre,bedroom
66,mis,placed
67,belle,beautiful
68,droit,law
69,aimerais,would like to
70,aujourd'hui,today
71,mari,husband
72,cause,cause
73,enfin,finally
74,espère,hope
75,eau,water
76,attendez,Wait
77,parti,left
78,nouvelle,new
79,arrêter,Stop
80,dirait,would say
81,compte,account
82,donne,given
83,fin,end
84,croire,believe
85,chérie,sweetheart
86,gros,large
87,plutôt,rather
88,aura,will have
89,filles,girls
90,jouer,to play
91,bureau,office
